"title","abstract","typeS","session_id","session_type_id","year"
"OFCCP New Regulations on Disability and Veterans' Status: Lessons Learned","In September 2013, the OFCCP published new regulations that impact federal contractors' practices regarding recruitment of individuals with disabilities and veterans, and the tracking of additional related data. This roundtable/conversation hour will encourage the sharing of lessons learned as these new regulations have been implemented over the past year.","Roundtable Discussion/Conversation Hour",276,7,2015
"Getting Rid of Performance Ratings: Genius or Folly?","Several organizations have recently announced that ratings will no longer be employed as part of Performance Management. Two teams comprised of practitioners and academics with extensive experience in performance appraisal will debate whether this is good or bad practice, engaging audience perspectives, and highlighting key issues and tradeoffs. ","Debate",277,277,2015
"Navigating Introversion as an I-O: Capitalizing on the ""I"" ","Roughly half of the population is introverted. For I-Os, perhaps it's more. Join us to discuss the question: How can introverted I-O psychologists be most successful in practice?  We will form a learning community to help each other find the best ways to be I-O and introverted.  ","Roundtable Discussion/Conversation Hour",278,7,2015
"The Candidate Experience: What Applicants Want, What Companies Need ","Findings from 347 organizational and 169,000 candidate responses gathered over 4 years via the Candidate Experience Survey serve as the framework for a discussion about the complexities, challenges, and opportunities for improvement in recruiting and selection practices. Practitioners, along with academic and industry thought leaders, offer best practice insights. ","Panel Discussion",279,6,2015
"Connecting Social Identities to Well-Being in the Workplace","This symposium presents new findings about the effects of social identification with occupations on employee stress and well-being in the workplace. We present a blend of experimental, multilevel, longitudinal, and theoretical research to highlight the importance of social identities and offer actionable directions for future research and practice. ","Symposium/Forum",280,2,2015
"Talent Systems Implementations: Only the End of the Beginning","Implementations of Talent systems have become a core focus in companies large and small. This symposium identifies similar and unique challenges that companies face during the Talent implementation process. Presenters will discuss their company's journeys including major decisions, key challenges and successes, and lessons learned.","Symposium/Forum",281,2,2015
"Perspectives on General Performance Effects in Assessment Center Ratings","Emerging research is beginning to report on General Performance (g) effects in AC ratings. The papers in this symposium (a) discuss alternative theoretical and (b) operational definitions of g, report on (c) the prevalence of g, and (d) provide a validation g's nomological network.","Symposium/Forum",282,2,2015
"Conducting Assessments in the Digital Age","This session will discuss current issues in using technology to enable assessments, including mobile devices and online assessment centers. Furthermore, we will demonstrate the use of a candidate's ""digital footprint"" as a potential assessment approach. We will also discuss the implications of these technologies for practice and future research.","Panel Discussion",283,6,2015
"No PhD? No Problem! Success Tips for Master's-Level I-O Psychologists","Master's-level I-O psychologists face unique challenges in the workplace compared to their doctoral counterparts. A panel of four seasoned master's-level practitioners will provide guidance to entry- and mid-level practitioners, master's level educators, and SIOP leaders on career preparation, progression, and visibility issues necessary for sustained success in the field.","Panel Discussion",284,6,2015
"UN Initiatives For Women: How Can I/O Help?  ","The UN is launching important global initiatives related to women and work. This session will provide insights on these initiatives and engage a select panel on how I/O research/practice can help. The panel consists of four highly-experienced I/O researchers/practitioners who are experts in areas related to women and work.","Panel Discussion",285,6,2015
"Linear I-O in an Exponential World: Keeping Pace with Technology","With the exponential growth of technological advancements that are fundamentally changing how individuals and organizations operate at work, I-O psychology as a field must take an introspective, critical look at how its research methods and applied practices are keeping pace with or falling behind the technological curve.","Panel Discussion",286,6,2015
"To Stress or Not to Stress: Can a Mentor Help?","This study aims to examine the influence of mentoring on the relationship between trait neuroticism and levels of burnout experienced by individuals in the workplace. Survey results among 325 employees indicated that individuals who received mentoring reported attenuated relationships between self-reported levels of neuroticism and levels of burnout experienced.","Poster",287,22,2015
"Risky Business: When Do Women Accept High Risk Pay Systems?","This study evaluated the contexts in which women consider high risk pay opportunities. Results revealed that women prefer high risk pay opportunities in some contexts. Specifically, gendered wording in advertisements and self-reported masculinity affected the relationship between pay range and women's likelihood of applying to positions.","Poster",288,22,2015
"The Pros and Cons of Being an Organizational Lynchpin","A measure of core (versus peripheral) position (CPP) was developed to assess the power (i.e., criticality, non-substitutability, pervasiveness, and immediacy) of employee positions. Perceived organizational worth mediated the effect of CPP on employee experienced meaningfulness. Moreover, CPP accounted for unique variance beyond that explained by perceived power and task significance","Poster",289,22,2015
"Developing a model of newcomer socialization according to stress theory","The current paper presents a conceptual model of the socialization process through the lens of stress theory. We identify factors relevant to the experience of stress for newcomers, point to organizational and employee driven inputs that can assist in building resources, and highlight natural points for integration between these literatures.","Poster",290,22,2015
"Career orientations' effect on older employees' job satisfaction-turnover intention relationship","This study was conducted to clarify the moderating effects of age and career orientation on the job satisfaction-turnover intention relationship. The results based on three samples revealed that older employees react with high turnover intention or job change behavior in a dissatisfying job if they have an independent career orientation.","Poster",291,22,2015
"Effective socialization of new hires in the Federal Government","This study examined how the manner in which the hiring, onboarding, and socialization process for new hires in the Federal Government influences organizational attitudes. Findings showed that eight factors involving the hiring process, formal orientation, and socialization were related to job and organizational satisfaction over a 12-month period.","Poster",292,22,2015
"Work Values and Post-retirement Work Intentions","We investigated relationships between work values and five types of post-retirement work intentions (i.e., voluntary work, general paid work, same-employer work, other-employer work, self-employed work). Data from 1,071 employees were used to test the hypotheses. The identified work value-work type combinations add to the literature on post-retirement work.","Poster",293,22,2015
"The Effects of Prior Experienced Interpersonal Mistreatment on Newcomer Adjustment","In this conceptual paper, we propose a theoretical bridge between research on interpersonal mistreatment and the extant research domain of newcomer adjustment. We propose that experience of interpersonal mistreatment in a prior organization will impact detrimentally on targets-turned-newcomers' adjustment through the target-turned-newcomer's reported cynicism, and his/her engagement in rumination.","Poster",294,22,2015
"Testing timing of delivery effect of a cross-cultural training program","We examined how timing of delivery impacted the effectiveness of a cross-cultural training program in a quasi-experimental field study with a group of international students. Results indicated that the timing of delivery had an impact on utility perceptions and an indirect impact on adjustment through utility perceptions.","Poster",295,22,2015
"Mentoring: A dynamic and socially driven process of learning","How are effective mentoring relationships, those most likely to deliver learning benefits to mentor, protege and the organization alike, identified, established and nurtured over time? Mentoring's unique contributions to learning, and the important relationships between mentoring, learning and social interaction are explored with a dynamic conceptual model.","Poster",296,22,2015
"Effect of Self-compassion on Work-to-Family Incivility","Two-wave data from 137 employees and their spouses showed that experiences of workplace incivility were associated with increased psychological distress, which in turn predicted increased incivility toward spouses. Self-compassion, but not empathy, of employees was found to
reduce such negative spillover effects.","Poster",297,22,2015
"Extra work on- and off-the-job: Differentiating occupational versus organizational turnover","Occupational turnover is juxtaposed with organizational turnover and decisions to stay, noting differences and commonalities in antecedents leading to each outcome. Two types of ""extra work"", moonlighting and organizational citizenship behavior, are shown to be proximal predictors of occupational change, but not intraindustry organizational change.","Poster",298,22,2015
"Childcare arrangement characteristics as predictors of employment trade-offs ","This study examined how employees' childcare arrangement characteristics influences their decision to participate in employment trade-offs. Findings showed that childcare arrangement satisfaction and childcare quality were negatively related to employment trade-offs while childcare costs were positively related to employment trade-offs.","Poster",299,22,2015
"Job demands and health outcomes: The role of work-family interactions","We used the job demands-resources (JD-R) model to examine the relationship between physical and psychological job demands and objective health outcomes. We also examined family-to-work interference (FWI) and enrichment (FWE) as moderators of these relationships. Findings suggest that FWE significantly moderated the relationship between physical demands and musculoskeletal symptoms.","Poster",300,22,2015
"Conceptualizing Identity-Based Work-Family Conflict","This paper extends the work-family conflict (WFC) literature by introducing identity-based conflict to the existing types of WFC (time-based, strain-based, and behavior-based). The proposed model examines the activation of work/family role-identities via situational cues that can cause a ""mismatch"" between the activated identity and the context, leading to identity-based WFC.","Poster",301,22,2015
"Crafting nonwork time: Development and validation of a new measure","We develop and validate a new measure assessing nonwork crafting designed to address the extent individuals engage in nonwork activities to satisfy their basic needs. Results indicate that the new measure relates to important work and nonwork variables and it can be used at both the facet and global level.","Poster",302,22,2015
"Effects of Family Supportive Supervision on Work and Health Outcomes","The model tested in this study suggests that family-supportive supervisor behaviors will lead to greater work engagement via gain spirals. This enhanced sense of engagement is expected to be related to lower levels of work-to-family conflict and greater levels of work-to-family enrichment, which lead to positive job and health outcomes.","Poster",303,22,2015
"Culture, Elder-care, Interrole Transitions, and Work-family conflict: A U.S.-Chinese comparison","This cross-cultural comparison investigates the role of culture, elder-care demands, and interrole transitions within the work-family conflict context. Our findings were mainly consistent in China and America, and mediation analyses indicate a relationship between elder-care demands and work-family conflict through family-to-work transitioning. Limitations, future research suggestions, and implications are discussed.","Poster",304,22,2015
"Mind the Gap: Negotiating Boundaries between Work and Home","This qualitative study with teleworkers examines the strategies they use to create work-life boundaries, the relationship between these boundaries and segmentation-integration preferences, and the differences in boundary strategies at different levels of teleworking intensity. The findings suggest that extent of telework is a key determinant of outcomes experienced by teleworkers.","Poster",305,22,2015
"Forced To Work More From Home: Implications For Work-Family Conflict","We examined whether mandatory increases in home-based telework intensity related to work-to-family conflict (WFC). Increases over time covaried with rises in psychological WFC, but not time-based WFC. However, employees with weaker work-family balance self-efficacy and those preferring to segment work and family experienced more time-based WFC when teleworking more. ","Poster",306,22,2015
"A Longitudinal Examination of WFC and Employee Health ","A longitudinal study examined work-family conflict's (WFC) influence on working-mothers' health through lifestyle behaviors. Increased WFC was associated with decreased vigorous physical activity and increased use of quick-prep meals (QPM) which further related to decreased physical and mental health. QPM mediated the relationship between WFC and physical and mental health.","Poster",307,22,2015
"Just like me: Effects of value congruence on work-family enrichment","Our research investigated the relationship between value congruence based on segmentation style and work-family enrichment (WFE). Value congruence between subordinates and their organization/supervisor both positively predicted WFE. Family-supportive supervisor behaviors (FSSB) significantly mediated the relationship. However, supervisor/subordinate gender matching did not significantly moderate the value congruence-FSSB relationship.","Poster",308,22,2015
"Using Cell Phones for Work and Play during Non-Work Time","We examined the moderating effect of social cell phone (SCP) use on the relationship between work-related cell phone (WRCP) use and work-family outcomes, emotional exhaustion, sleep quality, and work engagement. We found that SCP use buffers against the negative effects of after-work WRCP use for all variables except sleep quality.","Poster",309,22,2015
"A meta-analysis of support and work-family conflict: A cross-cultural lens","Meta-analysis is used to examine relationships between support (work, supervisor, coworker, family, spouse) and work-family conflict. Culture is tested as a moderator of these relationships. Results confirm the negative relationship between work-family conflict and support. National level collectivism, humane orientation, and assertiveness cultural values moderate some of these relationships. ","Poster",310,22,2015
"Gender Differences in the Crossover of Job Burnout in Dyads","This study investigates crossover of job burnout in dual-income couples, due to work-family conflict. Data from 259 dual-income couples from Korea showed that work-to-family conflict was related to burnout. Crossover of burnout from wives to husbands was found, whereas its counterpart was not found, indicating gender differences in crossover effects.","Poster",311,22,2015
"How Work-Family Conflict and Enrichment are Related: With Spillover-Crossover Effects","This study examines how organizational support for families influences employees as well as employees' spouses based on a Spillover-Crossover Model. Dyadic data (N=271) from Korea showed the informal support is related to employees' positive energy via work-family enrichment. Positive energy transferred to the spouses' job satisfaction via reduced work-family conflict.","Poster",312,22,2015
"Work-Family Conflict Measurement: Considering Culture and Gender Equivalency","Establishing measurement invariance is a critical first step in cross-cultural research. We investigated psychometric properties of a work-family conflict (WFC) measure using mean and covariance structure analysis. Results indicated that men and women within the same culture perceived WFC similarly; Asian and Anglo women might have different conceptualization of WFC","Poster",313,22,2015
"The Convergent Validity of Two Work-Family Conflict Instruments","Intense research efforts have been dedicated to assessing work-family conflict (WFC) and its nomological net. In three samples, this study investigates the convergent and discriminant validity of the two most prevalently used measures of WFC, those developed by Netemeyer, Boles, and McMurrian (1996) and Carlson, Kacmar, and Williams (2000).","Poster",314,22,2015
"Organizational Factors that Enhance Employee Work-Life Balance","This study examined the association between awareness of policies, perceived support for Flexible Work Arrangements (FWAs), and family-supportive organizational perception (FSOP), with work-life balance (WLB). FSOP is positively associated with WLB, and the effects of policy awareness and perceived FWA support were fully mediated by FSOP.   ","Poster",315,22,2015
"Organizational Punishment for Sexual Harassment: Implications for Men and Women","This study explored the impact of participant and initiator gender on perceived severity of harassment and recommended punishment. Results revealed a significant interaction between participant and initiator gender on severity perceptions and recommended punishment.  ","Poster",316,22,2015
"Moral Judgment, Aggression and Deviant Behavior","The purpose of this study was to investigate moral judgments' mediating effect on the relationship between trait aggression and deviant behavior. The results indicate that greater principled moral development will decrease the likelihood that an individual with trait aggression will engage in deviant behavior.","Poster",317,22,2015
"Nepotism, expected altruism, and employee theft ","This study, the first to explore employee theft via nepotism, used an experimental vignette methodology to show that an employee's genetic relatedness to the owner of a family-owned business is related to the expectation of decreased whistleblowing behavior after theft, decreased severity of punishments, and increased theft intentions. ","Poster",318,22,2015
"What Do I Owe My Organization?:  MTurk at Work","Are people doing MTurk work while at other paid employment? Our study examines the perceived psychological contract and job attitudes of MTurk workers who complete MTurk tasks during work hours paid for by another employer and those who do not, and the implications of those actions on work performance. 	

","Poster",319,22,2015
"Exploring Organizational Concern for Employee Off-Duty Deviance","Anecdotal evidence suggests that organizations are increasingly concerned with employee deviance outside of work, but management research has neglected this workplace phenomenon. This study defines off-duty deviance (ODD) as an emergent construct, describes the theoretical and practical significance, and uses a qualitative approach to explore organizational concern for ODD.","Poster",320,22,2015
"How Personality and Occupational Demands Impact Counterproductive Work Behavior","We used conservation of resources theory to explain how informational job demands (IJD) and emotional stability (ES) relate to resource management strategies that can result in counterproductive work behavior (CWB). Results indicate a significant positive relationship between IJD and CWB among employees low in ES (b = .22).","Poster",321,22,2015
"Seeing Green: Impact of Envy and Personality on Interpersonally-Directed CWB","We explored why envious employees might be likely to engage in interpersonally-directed counterproductive work behavior (CWB-I) and how personality may moderate the relationship between envy and CWB-I. The relationship between envy and CWB-I was found to be stronger among employees high in impulsivity, high in neuroticism, and low in conscientiousness.","Poster",322,22,2015
"Social Networking Use as a Counterproductive Work Behavior","Employed adults (n = 222) responded to an online survey examining negative social networking behaviors as a form of counterproductive work behaviors (CWBs). Results indicated that negative social networking behaviors are conceptually distinct from other CWBs, but share many of the same antecedents.","Poster",323,22,2015
"Attributed motives determine emotional and behavioral reactions to abusive supervision","Invoking attribution, affective events theory, and abusive supervision literature, we examined how perceived supervisor motives for abuse (injury initiation or performance promotion) play a role in shaping subordinate`s different emotional (shame or guilt) and behavioral reactions (deviance and citizenship behaviors) to abusive supervision, with a multisource, time-lagged field study. ","Poster",324,22,2015
"Political Skill, Narcissism, and Ambition Interact to Predict Workplace Deviance","Political skill has been shown to predict positive organizational outcomes, but little research has examined its relationship to workplace deviance. Here we investigate how the dimensions of political skill may channel narcissism to produce deviance, and how ambition attenuates that deviance. Theoretical and practical implications of our findings are discussed.","Poster",325,22,2015
"CWB: A Multilevel Examination of Rater Source and Item Characteristics","This study investigated item characteristics of counterproductive work behaviors as moderators of self- and observer-rating convergence. We found that evaluativeness (social desirability) moderated the relationship between self- and supervisor-ratings, while behavior severity did not moderate the relationship.","Poster",326,22,2015
"Catch Me if You Can: Intelligence, Differential Detection and Deviance","This study investigates the relationship between intelligence and CWB by introducing a mediating variable: respondents' expectancies about the potential costs and benefits of engaging in deviant behavior. Results support a differential detection hypothesis; when intelligent people see benefits to deviant behavior they are likely to engage in CWBI and CWBO","Poster",327,22,2015
"Aggression in Work-Related Email: A Qualitative Analysis ","Using a rich data set of actual email messages and recipient descriptions, we attempt to answer three key research questions: Who typically sends aggressive emails to employees? What work events are most likely to lead to aggressive emails? What characteristics of an email message lead to perceptions of aggression?","Poster",328,22,2015
"Exploring Workplace Ego Threat Management Through Social Media","The current study evaluated displays of unprofessional work behavior in social media for individuals high in workplace hostile attributional style and negative affect. Results indicated these individuals may be more likely to post unprofessional text or images on social media if a threat or interactional injustice is perceived at work.","Poster",329,22,2015
"Do bottom-line mentality climate perceptions activate Machiavellian unethical pro-organizational behavior?","In this study, we test the notion that Machiavellians, who are individuals predisposed toward unethical behavior, are more likely to engage in unethical pro-organizational behavior if their coworkers are described has exhibiting bottom-line mentalities.","Poster",330,22,2015
"Expanding Current Measures of Deviance to Include Passive Counterproductive Behaviors","The purpose of this study was to develop an alternate conceptualization of counterproductive work behavior (CWB) as either passive or active. Across two studies, we found that a 4-factor model that separated CWBO and CWBI into active and passive forms fit the data better than a 2-factor model.","Poster",331,22,2015
"Social Exchange & Identity Orientation's influence on OCB Acceptance","This conceptual paper utilizes Flynn's (2005) social exchange and identity orientation framework to explain why some individuals are more likely to accept or decline offers of organizational citizenship behavior (OCB) from their coworkers.  ","Poster",332,22,2015
"Mitigating the Impact of Counterproductive Work Behavior with an Apology","Using binary logistic regression, we tested the effectiveness of an apology as an intervention to experienced counterproductive work behavior from an employee-customer perspective. Results suggested that a simple apology can restore transgressions experienced in economic transactions.","Poster",333,22,2015
"Exploring Pathways and Roadblocks to Successful Workplace Technology Implementation ","New technologies are commonplace in today's workplace environment.Ensuring that the technology is successfully transitioned remains an important priority for many organizations. The aim of this symposium is to increase our understanding of the technology transition and acceptance process and the variables that influence adoption and implementation of any new technology.","Symposium/Forum",334,2,2015
"Antecedents of Abusive Supervision: The Moderating Role of Supervisor Personality","Drawing upon Affective Events Theory (AET), this study proposes that supervisor role overload is associated with supervisor frustration, which in turn is associated with abusive supervision. Using a moderated-mediation model, the study also examines frustration as a conditional indirect effect, which varies depending on supervisor conscientiousness, agreeableness, and neuroticism.","Poster",335,22,2015
"Distrust to Distressed: Responses to Rape in Military Employment","We examined associations between organizational trust and health/job attitudes among 542 survivors of military sexual assault. Among these Active Duty personnel, organizational trust emerged as a protective factor, predicting lower levels of PTSD/depression, more positive general health perceptions, greater levels of coworker/work satisfaction, and greater desire to re-enlist.","Poster",336,22,2015
"Effects of Abusive Supervision and Emotional Exhaustion on Production Deviance","We investigated the conditional indirect effect of abusive supervision on production deviance through emotional exhaustion. A study of 279 workers revealed that emotional exhaustion partially mediates the relationship between abusive supervision and production deviance. However, this psychological process primarily applies to workers low (vs. high) in conscientiousness.","Poster",337,22,2015
"Deal or No Deal: Reducing Production Deviance","We tested a conditional, indirect process model in which leader person-focused interpersonal citizenship behavior yields production deviance through emotional exhaustion. Analyses on data collected from 114 workers indicated full mediation and that idiosyncratic deals provided by the supervisor acted as a moderator at stage one of the mediation.","Poster",338,22,2015
"Testing a Multi-Level Mediation Model of Workgroup Incivility","This study tested the mediating role of workplace incivility within a proposed model of individual, group, and organizational predictors and outcomes of incivility. Results indicated preliminary support for the model.  Workplace incivility significantly mediated all of the relationships between predictor and criterion variables.","Poster",339,22,2015
"When misbehavior matters most: How antisocial behavior affects team performance","Though prior evidence indicates antisocial behavior hurts individuals and teams, more work is needed to identify the underlying mechanisms and boundary conditions. Using data from 59 work teams, we show that conflict mediates and sex diversity moderates the antisocial behavior-performance relationship such that it is stronger when diversity is higher.","Poster",340,22,2015
"Dos and Don'ts of Graduate School: Surviving and Thriving","A diverse panel of eight early-career I-O professionals will share unique and sometimes entertaining insights on not only surviving, but thriving as a graduate student. The audience will participate in a series of ""what would you do"" discussions, led and informed by the experts.","Alternative Session Type with presenters (no authorship order)",341,15,2015
"Faking Indicators: Effectiveness, Convergence, and Impact on Validity","Applicant faking on personality assessments is a concern. This symposium investigates the effectiveness of numerous faking methods/indicators for detecting applicant faking and examines the convergence of indicators. Innovative techniques are also explored. Lastly, the impact on criterion-related validity is examined when fakers identified by multiple indicators are removed. ","Symposium/Forum",342,2,2015
"Understanding the Work-Family Implications of Relationships with Leaders","Incorporating important theoretical perspectives on leadership, the four papers serve to recognize that the degree to which work-life supports are provided is a function of the quality of the leader-employee relationship. Based on strong methodological designs, the papers investigate interesting mechanisms through which the leader-employee relationship influences the work-family experiences.","Symposium/Forum",343,2,2015
